timestamp,cpu_usage,ram_usage,disk_usage,net_sent,net_recv,process_count,uptime_seconds,label
2026-03-03 21:02:38.469100,4.8,87.3,14.8,2913768,2364532,336,1127265.6720073223,1
2026-03-03 21:02:43.485970,1.8,87.3,14.8,2927874,2373137,336,1127270.6887209415,1
2026-03-03 21:02:48.504270,2.3,87.2,14.8,2938522,2381116,336,1127275.7067172527,1
2026-03-03 21:02:53.522405,10.1,87.2,14.8,2945015,2383423,336,1127280.7239387035,1
2026-03-03 21:02:58.539206,2.0,87.2,14.8,2952261,2390644,336,1127285.738621235,1
2026-03-03 21:03:03.553123,2.8,87.3,14.8,2959219,2405441,336,1127290.7519903183,1
2026-03-03 21:03:08.565324,6.2,87.5,14.8,2964952,2409264,337,1127295.769001484,1
2026-03-03 21:03:13.585080,2.0,87.4,14.8,2972955,2420669,336,1127300.7853477001,1
2026-03-03 21:03:18.599095,16.1,88.0,14.8,3020073,2442056,338,1127305.802663803,1
2026-03-03 21:03:23.616841,14.2,87.3,14.8,3077177,2479451,338,1127310.8158576488,1
2026-03-03 21:03:28.628963,5.1,87.2,14.8,3119785,2508741,338,1127315.827224493,1
2026-03-03 21:03:33.640633,5.7,87.4,14.8,3161381,2551436,338,1127320.8428902626,1
2026-03-03 21:03:38.659458,5.7,87.7,14.8,3312234,2566548,339,1127325.8630347252,1
2026-03-03 21:03:43.678347,9.5,87.6,14.8,3326243,2570146,339,1127330.8850533962,1
2026-03-03 21:03:48.698980,11.8,87.3,14.8,3331845,2572713,338,1127335.9027516842,1
2026-03-03 21:03:53.716256,12.1,86.7,14.8,3342327,2655094,337,1127340.9166185856,1
2026-03-03 21:03:58.730091,1.1,86.6,14.8,3349814,2692878,337,1127345.9316921234,1
2026-03-03 21:04:03.745424,8.2,86.6,14.8,3365542,2736933,337,1127350.947785616,1
2026-03-03 21:04:08.761897,6.5,86.7,14.8,3389024,2800149,337,1127355.9665517807,1
2026-03-03 21:04:13.826414,8.7,86.8,14.8,3395098,2845361,338,1127361.0249564648,1
2026-03-03 21:04:18.838183,7.1,86.9,14.8,3447520,2946805,338,1127366.0342562199,1
2026-03-03 21:04:23.847917,2.0,87.6,14.8,3501497,3029393,340,1127371.0518875122,1
2026-03-03 21:04:28.868464,6.7,88.0,14.8,3530324,3282661,341,1127376.0699260235,1
2026-03-03 21:04:33.885266,4.7,88.5,14.8,3575316,3638584,343,1127381.0879659653,1
2026-03-03 21:04:38.907012,5.6,88.2,14.8,3608136,4015060,342,1127386.1189937592,1
